N	K	CI	Weighting	Result
10000	270	CH	WIS	1.0001313406772503
10000	270	AM	IS	0.7488516886102237
10000	270	AM	WIS	0.00017971260384341825
10000	280	CH	IS	1.5803207825498728
10000	280	CH	WIS	1.000138309210837
10000	280	AM	IS	0.8038418521017097
10000	280	AM	WIS	0.0001862323330317217
10000	290	CH	IS	1.635172595248351
10000	290	CH	WIS	1.0001451937879424
10000	290	AM	IS	0.8587253173581483
10000	290	AM	WIS	0.00019274255593115797
10000	300	CH	IS	1.6899180636803504
10000	300	CH	WIS	1.0001520019681318
10000	300	AM	IS	0.9135023948853136
10000	300	AM	WIS	0.00019924329562082121
10000	310	CH	IS	1.7445574970473245
10000	310	CH	WIS	1.0001587403381813
10000	310	AM	IS	0.9681733939849424
10000	310	AM	WIS	0.00020573457510131288
10000	320	CH	IS	1.7990912033528481
10000	320	CH	WIS	1.0001654146640622
10000	320	AM	IS	1.0227386227605855
10000	320	AM	WIS	0.0002122164172956298
10000	330	CH	IS	1.853519489408416
10000	330	CH	WIS	1.0001720300152912
10000	330	AM	IS	1.0771983881233564
10000	330	AM	WIS	0.00021868884504849806
10000	340	CH	IS	1.9078426608392034
10000	340	CH	WIS	1.0001785908673382
10000	340	AM	IS	1.1315529957977712
10000	340	AM	WIS	0.00022515188112781637
10000	350	CH	IS	1.9620610220897972
10000	350	CH	WIS	1.0001851011864782
10000	350	AM	IS	1.185802750327387
10000	350	AM	WIS	0.0002316055482243229
10000	360	CH	IS	2.01617487642989
10000	360	CH	WIS	1.0001915645005022
10000	360	AM	IS	1.2399479550805843
10000	360	AM	WIS	0.00023804986895192837
10000	370	CH	IS	2.070184525959943
10000	370	CH	WIS	1.0001979839579607
10000	370	AM	IS	1.2939889122561885
10000	370	AM	WIS	0.0002444848658481602
10000	380	CH	IS	2.1240902716168186
10000	380	CH	WIS	1.0002043623780548
10000	380	AM	IS	1.3479259228890894
10000	380	AM	WIS	0.0002509105613749396
10000	390	CH	IS	2.177892413179376
10000	390	CH	WIS	1.0002107022928508
10000	390	AM	IS	1.4017592868558697
10000	390	AM	WIS	0.0002573269779180265
10000	400	CH	IS	2.2315912492740364
10000	400	CH	WIS	1.0002170059831625
10000	400	AM	IS	1.4554893028803686
10000	400	AM	WIS	0.0002637341377881297
10000	410	CH	IS	2.2851870773803165
10000	410	CH	WIS	1.000223275509184
10000	410	AM	IS	1.509116268539193
10000	410	AM	WIS	0.000270132063220907
10000	420	CH	IS	2.3386801938363333
10000	420	CH	WIS	1.0002295127367458
10000	420	AM	IS	1.5626404802672371
10000	420	AM	WIS	0.00027652077637707606
10000	430	CH	IS	2.3920708938442683
10000	430	CH	WIS	1.0002357193599054
10000	430	AM	IS	1.6160622333631687
10000	430	AM	WIS	0.00028290029934330274
10000	440	CH	IS	2.4453594714758116
10000	440	CH	WIS	1.0002418969204618
10000	440	AM	IS	1.6693818219948258
10000	440	AM	WIS	0.0002892706541318679
10000	450	CH	IS	2.498546219677564
10000	450	CH	WIS	1.0002480468248642
10000	450	AM	IS	1.722599539204678
10000	450	AM	WIS	0.0002956318626815557
10000	460	CH	IS	2.5516314302764163
10000	460	CH	WIS	1.000254170358917
10000	460	AM	IS	1.7757156769151599
10000	460	AM	WIS	0.0003019839468575425
10000	470	CH	IS	2.6046153939848953
10000	470	CH	WIS	1.000260268700607
10000	470	AM	IS	1.8287305259340412
10000	470	AM	WIS	0.0003083269284521739
10000	480	CH	IS	2.6574984004064763
10000	480	CH	WIS	1.000266342931329
10000	480	AM	IS	1.8816443759597286
10000	480	AM	WIS	0.000314660829184521
10000	490	CH	IS	2.7102807380408693
10000	490	CH	WIS	1.0002723940457334
10000	490	AM	IS	1.9344575155865729
10000	490	AM	WIS	0.00032098567070171224
10000	500	CH	IS	2.7629626942892713
10000	500	CH	WIS	1.0002784229603963
10000	500	AM	IS	1.9871702323101126
10000	500	AM	WIS	0.00032730147457826764
10000	510	CH	IS	2.8155445554595935
10000	510	CH	WIS	1.0002844305214664
10000	510	AM	IS	2.039782812532272
10000	510	AM	WIS	0.00033360826231720875
10000	520	CH	IS	2.8680266067716524
10000	520	CH	WIS	1.000290417511431
10000	520	AM	IS	2.092295541566624
10000	520	AM	WIS	0.0003399060553496147
10000	530	CH	IS	2.9204091323623382
10000	530	CH	WIS	1.0002963846551165
10000	530	AM	IS	2.144708703643479
10000	530	AM	WIS	0.00034619487503573243
10000	540	CH	IS	2.9726924152907466
10000	540	CH	WIS	1.0003023326250207
10000	540	AM	IS	2.197022581915066
10000	540	AM	WIS	0.00035247474266442147
10000	550	CH	IS	3.0248767375432877
10000	550	CH	WIS	1.0003082620460648
10000	550	AM	IS	2.2492374584606583
10000	550	AM	WIS	0.00035874567945415325
10000	560	CH	IS	3.0769623800387627
10000	560	CH	WIS	1.0003141734998364
10000	560	AM	IS	2.301353614291582
10000	560	AM	WIS	0.0003650077065532331
10000	570	CH	IS	3.128949622633412
10000	570	CH	WIS	1.0003200675283843
10000	570	AM	IS	2.35337132935635
10000	570	AM	WIS	0.0003712608450394672
10000	580	CH	IS	3.1808387441259347
10000	580	CH	WIS	1.0003259446376223
10000	580	AM	IS	2.405290882545609
10000	580	AM	WIS	0.0003775051159212728
10000	590	CH	IS	3.2326300222624806
10000	590	CH	WIS	1.0003318053003862
10000	590	AM	IS	2.457112551697194
10000	590	AM	WIS	0.00038374054013745607
10000	600	CH	IS	3.2843237337416142
10000	600	CH	WIS	1.0003376499591858
10000	600	AM	IS	2.508836613601043
10000	600	AM	WIS	0.00038996713855776743
10000	610	CH	IS	3.335920154219248
10000	610	CH	WIS	1.0003434790286858
10000	610	AM	IS	2.5604633440041704
10000	610	AM	WIS	0.00039618493198312343
10000	620	CH	IS	3.38741955831355
10000	620	CH	WIS	1.0003492928979452
10000	620	AM	IS	2.6119930176155424
10000	620	AM	WIS	0.0004023939411456068
10000	630	CH	IS	3.4388222196098246
10000	630	CH	WIS	1.0003550919324464
10000	630	AM	IS	2.663425908110984
10000	630	AM	WIS	0.00040859418670935455
10000	640	CH	IS	3.4901284106653643
10000	640	CH	WIS	1.0003608764759324
10000	640	AM	IS	2.7147622881380213
10000	640	AM	WIS	0.0004147856892703361
10000	650	CH	IS	3.5413384030142723
10000	650	CH	WIS	1.0003666468520735
10000	650	AM	IS	2.766002429320714
10000	650	AM	WIS	0.0004209684693567972
10000	660	CH	IS	3.5924524671722633
10000	660	CH	WIS	1.000372403365985
10000	660	AM	IS	2.817146602264437
10000	660	AM	WIS	0.0004271425474295931
10000	670	CH	IS	3.6434708726414313
10000	670	CH	WIS	1.0003781463056063
10000	670	AM	IS	2.8681950765606787
10000	670	AM	WIS	0.00043330794388274363
10000	680	CH	IS	3.6943938879149947
10000	680	CH	WIS	1.0003838759429604
10000	680	AM	IS	2.919148120791762
10000	680	AM	WIS	0.000439464679042878
10000	690	CH	IS	3.745221780482014
10000	690	CH	WIS	1.0003895925353028
10000	690	AM	IS	2.970006002535564
10000	690	AM	WIS	0.0004456127731703452
10000	700	CH	IS	3.7959548168320794
10000	700	CH	WIS	1.0003952963261726
10000	700	AM	IS	3.0207689883702358
10000	700	AM	WIS	0.0004517522464593249
10000	710	CH	IS	3.846593262459982
10000	710	CH	WIS	1.0004009875463546
10000	710	AM	IS	3.071437343878836
10000	710	AM	WIS	0.0004578831190378274
10000	720	CH	IS	3.8971373818703436
10000	720	CH	WIS	1.0004066664147602
10000	720	AM	IS	3.1220113336539854
10000	720	AM	WIS	0.00046400541096813797
10000	730	CH	IS	3.947587438582236
10000	730	CH	WIS	1.0004123331392378
10000	730	AM	IS	3.1724912213024705
10000	730	AM	WIS	0.00047011914224703855
10000	740	CH	IS	3.997943695133762
10000	740	CH	WIS	1.0004179879173163
10000	740	AM	IS	3.222877269449839
10000	740	AM	WIS	0.0004762243328063631
10000	750	CH	IS	4.048206413086622
10000	750	CH	WIS	1.0004236309368888
10000	750	AM	IS	3.273169739744979
10000	750	AM	WIS	0.00048232100251277554
10000	760	CH	IS	4.098375853030648
10000	760	CH	WIS	1.0004292623768443
10000	760	AM	IS	3.3233688928646057
10000	760	AM	WIS	0.0004884091711683247
10000	770	CH	IS	4.148452274588308
10000	770	CH	WIS	1.0004348824076468
10000	770	AM	IS	3.3734749885178403
10000	770	AM	WIS	0.0004944888585108886
10000	780	CH	IS	4.1984359364192025
10000	780	CH	WIS	1.000440491191874
10000	780	AM	IS	3.4234882854506252
10000	780	AM	WIS	0.0005005600842141744
10000	790	CH	IS	4.2483270962245125
10000	790	CH	WIS	1.0004460888847118
10000	790	AM	IS	3.473409041450252
10000	790	AM	WIS	0.0005066228678877183
10000	800	CH	IS	4.298126010751448
10000	800	CH	WIS	1.0004516756344126
10000	800	AM	IS	3.523237513349759
10000	800	AM	WIS	0.0005126772290781068
10000	810	CH	IS	4.347832935797646
10000	810	CH	WIS	1.0004572515827217
10000	810	AM	IS	3.5729739570323247
10000	810	AM	WIS	0.0005187231872680886
10000	820	CH	IS	4.397448126215565
10000	820	CH	WIS	1.0004628168652685
10000	820	AM	IS	3.622618627435733
10000	820	AM	WIS	0.0005247607618776851
10000	830	CH	IS	4.446971835916848
10000	830	CH	WIS	1.0004683716119338
10000	830	AM	IS	3.6721717785566335
10000	830	AM	WIS	0.0005307899722641896
10000	840	CH	IS	4.496404317876654
10000	840	CH	WIS	1.0004739159471876
10000	840	AM	IS	3.721633663454966
10000	840	AM	WIS	0.0005368108377220571
10000	850	CH	IS	4.5457458241379785
10000	850	CH	WIS	1.0004794499904048
10000	850	AM	IS	3.7710045342582266
10000	850	AM	WIS	0.000542823377483459
10000	860	CH	IS	4.5949966058159415
10000	860	CH	WIS	1.0004849738561579
10000	860	AM	IS	3.820284642165794
10000	860	AM	WIS	0.0005488276107192824
10000	870	CH	IS	4.6441569131020515
10000	870	CH	WIS	1.0004904876544911
10000	870	AM	IS	3.8694742374531583
10000	870	AM	WIS	0.0005548235565376869
10000	880	CH	IS	4.693226995268452
10000	880	CH	WIS	1.0004959914911733
10000	880	AM	IS	3.918573569476185
10000	880	AM	WIS	0.0005608112339862137
10000	890	CH	IS	4.742207100672141
10000	890	CH	WIS	1.0005014854679362
10000	890	AM	IS	3.967582886675342
10000	890	AM	WIS	0.0005667906620505647
10000	900	CH	IS	4.791097476759166
10000	900	CH	WIS	1.0005069696826958
10000	900	AM	IS	4.0165024365798985
10000	900	AM	WIS	0.0005727618596557127
10000	910	CH	IS	4.8398983700687985
10000	910	CH	WIS	1.0005124442297593
10000	910	AM	IS	4.065332465812084
10000	910	AM	WIS	0.0005787248456657901
10000	920	CH	IS	4.888610026237682
10000	920	CH	WIS	1.0005179092000174
10000	920	AM	IS	4.114073220091234
10000	920	AM	WIS	0.0005846796388848663
10000	930	CH	IS	4.937232690003961
10000	930	CH	WIS	1.0005233646811267
10000	930	AM	IS	4.162724944237946
10000	930	AM	WIS	0.0005906262580561705
10000	940	CH	IS	4.985766605211391
10000	940	CH	WIS	1.0005288107576784
10000	940	AM	IS	4.211287882178178
10000	940	AM	WIS	0.000596564721863313
10000	950	CH	IS	5.034212014813414
10000	950	CH	WIS	1.0005342475113572
10000	950	AM	IS	4.25976227694731
10000	950	AM	WIS	0.0006024950489301739
10000	960	CH	IS	5.082569160877219
10000	960	CH	WIS	1.0005396750210895
10000	960	AM	IS	4.308148370694231
10000	960	AM	WIS	0.0006084172578210145
10000	970	CH	IS	5.130838284587789
10000	970	CH	WIS	1.0005450933631843
10000	970	AM	IS	4.3564464046853555
10000	970	AM	WIS	0.0006143313670409212
10000	980	CH	IS	5.179019626251901
10000	980	CH	WIS	1.0005505026114625
10000	980	AM	IS	4.404656619308679
10000	980	AM	WIS	0.0006202373950359164
10000	990	CH	IS	5.227113425302139
10000	990	CH	WIS	1.000555902837382
10000	990	AM	IS	4.452779254077708
10000	990	AM	WIS	0.0006261353601934028
10000	1000	CH	IS	5.27511992030085
10000	1000	CH	WIS	1.0005612941101516
10000	1000	AM	IS	4.500814547635504
10000	1000	AM	WIS	0.0006320252808420523
