n	k	c	CI	Weighting	J_hat_pi_e
100000	2200	-0.241011956127	CH	WIS	-0.130897330962
100000	2300	-0.240800371243	CH	WIS	-0.130889960364
100000	2400	-0.240584665481	CH	WIS	-0.130879949119
100000	2500	-0.240365414985	CH	WIS	-0.130867606579
100000	2600	-0.240143119884	CH	WIS	-0.130853201715
100000	2700	-0.239918215363	CH	WIS	-0.13083696898
100000	2800	-0.239691080947	CH	WIS	-0.130819113232
100000	2900	-0.239462048322	CH	WIS	-0.130799813877
100000	3000	-0.239231407932	CH	WIS	-0.130779228365
100000	3100	-0.238999414568	CH	WIS	-0.130757495157
100000	3200	-0.238766292129	CH	WIS	-0.130734736252
100000	3300	-0.238532237673	CH	WIS	-0.130711059334
100000	3400	-0.238297424888	CH	WIS	-0.130686559614
100000	3500	-0.238062007063	CH	WIS	-0.130661321413
100000	3600	-0.237826119648	CH	WIS	-0.130635419519
100000	3700	-0.237589882458	CH	WIS	-0.13060892036
100000	3800	-0.237353401585	CH	WIS	-0.130581883016
100000	3900	-0.237116771041	CH	WIS	-0.130554360101
100000	4000	-0.236880074202	CH	WIS	-0.130526398526
100000	4100	-0.236643385047	CH	WIS	-0.13049804016
100000	4200	-0.236406769257	CH	WIS	-0.130469322416
100000	4300	-0.236170285156	CH	WIS	-0.130440278752
100000	4400	-0.235933984553	CH	WIS	-0.130410939119
100000	4500	-0.235697913468	CH	WIS	-0.130381330352
100000	4600	-0.235462112774	CH	WIS	-0.130351476507
100000	4700	-0.235226618767	CH	WIS	-0.130321399171
100000	4800	-0.234991463658	CH	WIS	-0.13029111772
100000	4900	-0.234756676018	CH	WIS	-0.130260649561
100000	5000	-0.234522281166	CH	WIS	-0.130230010338
100000	5100	-0.234288301515	CH	WIS	-0.130199214114
100000	5200	-0.234054756876	CH	WIS	-0.130168273539
100000	5300	-0.23382166473	CH	WIS	-0.130137199993
100000	5400	-0.233589040474	CH	WIS	-0.130106003719
100000	5500	-0.233356897629	CH	WIS	-0.130074693933
100000	5600	-0.23312524804	CH	WIS	-0.130043278932
100000	5700	-0.232894102041	CH	WIS	-0.130011766183
100000	5800	-0.232663468611	CH	WIS	-0.129980162409
100000	5900	-0.232433355511	CH	WIS	-0.129948473658
100000	6000	-0.232203769408	CH	WIS	-0.129916705373
100000	6100	-0.231974715983	CH	WIS	-0.12988486245
100000	6200	-0.231746200028	CH	WIS	-0.12985294929
100000	6300	-0.23151822554	CH	WIS	-0.129820969849
100000	6400	-0.231290795798	CH	WIS	-0.129788927681
100000	6500	-0.231063913431	CH	WIS	-0.129756825973
100000	6600	-0.230837580489	CH	WIS	-0.129724667586
100000	6700	-0.230611798499	CH	WIS	-0.129692455081
100000	6800	-0.230386568515	CH	WIS	-0.129660190753
100000	6900	-0.230161891167	CH	WIS	-0.12962787665
100000	7000	-0.229937766705	CH	WIS	-0.129595514602
100000	7100	-0.229714195037	CH	WIS	-0.12956310624
100000	7200	-0.229491175761	CH	WIS	-0.129530653015
100000	7300	-0.229268708201	CH	WIS	-0.129498156214
100000	7400	-0.229046791433	CH	WIS	-0.129465616978
100000	7500	-0.228825424312	CH	WIS	-0.129433036314
100000	7600	-0.228604605494	CH	WIS	-0.12940041511
100000	7700	-0.228384333458	CH	WIS	-0.129367754145
100000	7800	-0.228164606526	CH	WIS	-0.129335054099
100000	7900	-0.22794542288	CH	WIS	-0.129302315566
100000	8000	-0.227726780576	CH	WIS	-0.129269539058
100000	8100	-0.227508677562	CH	WIS	-0.129236725017
100000	8200	-0.227291111686	CH	WIS	-0.129203873819
100000	8300	-0.227074080714	CH	WIS	-0.129170985784
100000	8400	-0.226857582335	CH	WIS	-0.129138061179
100000	1	0.408110421976	CH	IS	0.21604759582
100000	100	0.408081700039	CH	IS	0.2161640238
100000	200	0.408052716809	CH	IS	0.216281360612
100000	300	0.408023762497	CH	IS	0.216398429718
100000	400	0.40799483705	CH	IS	0.216515231964
100000	500	0.407965940412	CH	IS	0.2166719822
100000	600	0.407937072531	CH	IS	0.21684592159
100000	700	0.407908233353	CH	IS	0.217019474009
100000	800	0.407879422824	CH	IS	0.217192640666
100000	900	0.407850640892	CH	IS	0.217365422763
100000	1000	0.407821887502	CH	IS	0.217537821499
100000	1100	0.407793162603	CH	IS	0.217709838065
100000	1200	0.40776446614	CH	IS	0.217881473651
100000	1300	0.407735798062	CH	IS	0.21805272944
100000	1400	0.407707158316	CH	IS	0.21822360661
100000	1500	0.407678546849	CH	IS	0.218394106336
100000	1600	0.40764996361	CH	IS	0.218564229785
100000	1700	0.407621408545	CH	IS	0.218733978124
100000	1800	0.407592881604	CH	IS	0.218903352511
100000	1900	0.407564382734	CH	IS	0.219072354101
100000	2000	0.407535911883	CH	IS	0.219240984045
100000	2100	0.407507469	CH	IS	0.219409243489
100000	2200	0.407479054034	CH	IS	0.219577133573
100000	2300	0.407450666933	CH	IS	0.219744655434
100000	2400	0.407422307646	CH	IS	0.219911810204
100000	2500	0.407393976123	CH	IS	0.22007859901
100000	2600	0.407365672311	CH	IS	0.220245022976
100000	2700	0.407337396161	CH	IS	0.220411083219
100000	2800	0.407309147622	CH	IS	0.220576780854
100000	2900	0.407280926644	CH	IS	0.22074211699
100000	3000	0.407252733176	CH	IS	0.220907092732
100000	3100	0.407224567168	CH	IS	0.221071709181
100000	3200	0.40719642857	CH	IS	0.221235967433
100000	3300	0.407168317332	CH	IS	0.22139986858
100000	3400	0.407140233404	CH	IS	0.221563413709
100000	3500	0.407112176737	CH	IS	0.221726603904
100000	3600	0.407084147282	CH	IS	0.221889440243
100000	3700	0.407056144988	CH	IS	0.222051923802
100000	3800	0.407028169807	CH	IS	0.22221405565
100000	3900	0.40700022169	CH	IS	0.222375836855
100000	4000	0.406972300587	CH	IS	0.222537268477
100000	4100	0.40694440645	CH	IS	0.222698351575
100000	4200	0.40691653923	CH	IS	0.222859087202
100000	4300	0.406888698879	CH	IS	0.223019476407
100000	4400	0.406860885348	CH	IS	0.223179520236
100000	4500	0.406833098588	CH	IS	0.223339219731
100000	4600	0.406805338553	CH	IS	0.223498575927
100000	4700	0.406777605192	CH	IS	0.223657589859
100000	4800	0.40674989846	CH	IS	0.223816262555
100000	4900	0.406722218307	CH	IS	0.22397459504
100000	5000	0.406694564687	CH	IS	0.224132588335
100000	5100	0.406666937552	CH	IS	0.224290243456
100000	5200	0.406639336853	CH	IS	0.224447561418
100000	5300	0.406611762545	CH	IS	0.224604543228
100000	5400	0.40658421458	CH	IS	0.224761189893
100000	5500	0.40655669291	CH	IS	0.224917502412
100000	5600	0.40652919749	CH	IS	0.225073481784
100000	5700	0.406501728271	CH	IS	0.225229129001
100000	5800	0.406474285208	CH	IS	0.225384445053
100000	5900	0.406446868254	CH	IS	0.225539430927
100000	6000	0.406419477363	CH	IS	0.225694087602
100000	6100	0.406392112488	CH	IS	0.225848416059
100000	6200	0.406364773583	CH	IS	0.22600241727
100000	6300	0.406337460602	CH	IS	0.226156092206
100000	6400	0.4063101735	CH	IS	0.226309441835
100000	6500	0.40628291223	CH	IS	0.226462467118
100000	6600	0.406255676746	CH	IS	0.226615169016
100000	6700	0.406228467004	CH	IS	0.226767548484
100000	6800	0.406201282957	CH	IS	0.226919606473
100000	6900	0.406174124561	CH	IS	0.227071343932
100000	7000	0.40614699177	CH	IS	0.227222761806
100000	7100	0.406119884539	CH	IS	0.227373861035
100000	7200	0.406092802824	CH	IS	0.227524642557
100000	7300	0.406065746579	CH	IS	0.227675107305
100000	7400	0.406038715759	CH	IS	0.22782525621
100000	7500	0.40601171032	CH	IS	0.227975090198
100000	7600	0.405984730218	CH	IS	0.228124610193
100000	7700	0.405957775408	CH	IS	0.228273817113
100000	7800	0.405930845846	CH	IS	0.228422711876
100000	7900	0.405903941488	CH	IS	0.228571295393
100000	8000	0.40587706229	CH	IS	0.228719568573
100000	8100	0.405850208207	CH	IS	0.228867532322
100000	8200	0.405823379196	CH	IS	0.229015187543
100000	8300	0.405796575214	CH	IS	0.229162535133
100000	8400	0.405769796216	CH	IS	0.229309575989
